Item,Carton_Qty,Price,Colour,Size,Desc,Weight(Kg),EAN13,DUN14,Image_Path,,,,
2085NAR28,24,237.50,Navy      ,28,Wakefield Trousers,0.5200,5036108072590,15036108600325,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR30,24,237.50,Navy      ,30,Wakefield Trousers,0.5000,5036108072606,15036108600332,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR32,24,237.50,Navy      ,32,Wakefield Trousers,0.5000,5036108072613,15036108600349,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR34,24,237.50,Navy      ,34,Wakefield Trousers,0.5200,5036108072620,15036108600356,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR36,24,237.50,Navy      ,36,Wakefield Trousers,0.5400,5036108072637,15036108600363,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR44,24,237.50,Navy      ,44,Wakefield Trousers,0.6200,5036108072675,15036108600400,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR46,24,237.50,Navy      ,46,Wakefield Trousers,0.6000,5036108072682,15036108600417,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085NAR48,24,237.50,Navy      ,48,Wakefield Trousers,0.6000,5036108072699,15036108600424,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085NAR.jpg,,,,
2085RBT40,24,237.50,RoyalT    ,40,Wakefield Trousers,0.5600,5036108073139,15036108600585,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2085RBT.jpg,,,,
2201RBRM,24,358.00,Royal     ,Medium,Food Boilersuit,0.8200,5036108122547,15036108600639,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201RBR.jpg,,,,
2201RBRS,24,358.00,Royal     ,Small,Food Boilersuit,0.8000,5036108122530,15036108600646,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201RBR.jpg,,,,
2201RBRXL,24,358.00,Royal     ,XL,Food Boilersuit,0.9200,5036108122561,15036108600653,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201RBR.jpg,,,,
2201WHRL,24,344.50,White     ,Large,Food Boilersuit,0.8800,5036108106691,15036108600691,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201WHR.jpg,,,,
2201WHRM,24,344.50,White     ,Medium,Food Boilersuit,0.8200,5036108106684,15036108600707,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201WHR.jpg,,,,
2201WHRS,24,344.50,White     ,Small,Food Boilersuit,0.8000,5036108106677,15036108600714,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201WHR.jpg,,,,
2201WHRXL,24,344.50,White     ,XL,Food Boilersuit,0.9200,5036108106707,15036108600738,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201WHR.jpg,,,,
2201WHRXXL,24,344.50,White     ,XXL,Food Boilersuit,0.9200,5036108106714,15036108600752,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201WHR.jpg,,,,
2201WHRXXXL,24,344.50,White     ,3 XL,Food Boilersuit,0.9200,5036108106721,15036108600783,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2201WHR.jpg,,,,
2202NARL,24,244.50,Navy      ,Large,Mens Food Coat One Pocket,0.5600,5036108122677,15036108600790,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2202NAR.jpg,,,,
